checkpoint_path,dataset_id,env,model,difficulty,episode_rewards_mean,episode_rewards_std
checkpoints/BC/BC-H1JoystickGaitTracking-68be76cc,playground/H1JoystickGaitTracking-medium-v0,H1JoystickGaitTracking,BC,medium,7.267414,0.00016323014
checkpoints/BC/BC-Go1JoystickRoughTerrain-62282586,playground/Go1JoystickRoughTerrain-expert-v0,Go1JoystickRoughTerrain,BC,expert,30.34338,0.12726901
checkpoints/BC/BC-Go1JoystickRoughTerrain-271a7ed9,playground/Go1JoystickRoughTerrain-random-v0,Go1JoystickRoughTerrain,BC,random,0.21114297,1.4901161e-08
checkpoints/BC/BC-G1JoystickRoughTerrain-1d4de175,playground/G1JoystickRoughTerrain-expert-v0,G1JoystickRoughTerrain,BC,expert,17.847767,1.4384928
checkpoints/BC/BC-Go1Getup-3be59970,playground/Go1Getup-medium-v0,Go1Getup,BC,medium,5.6428423,5.2234896e-07
checkpoints/BC/BC-G1JoystickFlatTerrain-bfbc9aa7,playground/G1JoystickFlatTerrain-expert-v0,G1JoystickFlatTerrain,BC,expert,24.085413,1.9073486e-06
checkpoints/BC/BC-H1InplaceGaitTracking-87e60995,playground/H1InplaceGaitTracking-expert-v0,H1InplaceGaitTracking,BC,expert,36.960316,3.8146973e-06
checkpoints/BC/BC-H1JoystickGaitTracking-24b84917,playground/H1JoystickGaitTracking-expert-v0,H1JoystickGaitTracking,BC,expert,125.59914,0.5742841
checkpoints/BC/BC-Go1JoystickFlatTerrain-bd089b39,playground/Go1JoystickFlatTerrain-medium-v0,Go1JoystickFlatTerrain,BC,medium,25.725056,4.719649
checkpoints/BC/BC-H1InplaceGaitTracking-6e7de7ae,playground/H1InplaceGaitTracking-medium-v0,H1InplaceGaitTracking,BC,medium,35.51305,2.0170372
checkpoints/BC/BC-Go1JoystickRoughTerrain-53547e63,playground/Go1JoystickRoughTerrain-medium-v0,Go1JoystickRoughTerrain,BC,medium,24.887262,5.1315207
checkpoints/BC/BC-Go1JoystickFlatTerrain-a17b8b82,playground/Go1JoystickFlatTerrain-random-v0,Go1JoystickFlatTerrain,BC,random,0.5358263,0.0
checkpoints/BC/BC-Go1Footstand-ae701b19,playground/Go1Footstand-expert-v0,Go1Footstand,BC,expert,19.61588,0.013541179
checkpoints/BC/BC-Go1Getup-4fa181e1,playground/Go1Getup-expert-v0,Go1Getup,BC,expert,5.8685446,0.03363228
checkpoints/BC/BC-Go1Handstand-1e19c8f3,playground/Go1Handstand-expert-v0,Go1Handstand,BC,expert,16.315048,0.0031108176
checkpoints/BC/BC-Go1JoystickFlatTerrain-6788a5ea,playground/Go1JoystickFlatTerrain-expert-v0,Go1JoystickFlatTerrain,BC,expert,29.564373,0.21231994
checkpoints/BC/BC-Go1Handstand-84331f3a,playground/Go1Handstand-medium-v0,Go1Handstand,BC,medium,16.305656,0.03274084
checkpoints/TD3-BC/TD3-BC-H1JoystickGaitTracking-a17a52b8,playground/H1JoystickGaitTracking-medium-v0,H1JoystickGaitTracking,TD3-BC,medium,0.1402249,0.0
checkpoints/TD3-BC/TD3-BC-Go1JoystickRoughTerrain-e33c7c33,playground/Go1JoystickRoughTerrain-medium-v0,Go1JoystickRoughTerrain,TD3-BC,medium,29.975561,0.13773149
checkpoints/TD3-BC/TD3-BC-H1JoystickGaitTracking-2f802bfd,playground/H1JoystickGaitTracking-expert-v0,H1JoystickGaitTracking,TD3-BC,expert,0.18387029,0.0
checkpoints/TD3-BC/TD3-BC-Go1JoystickFlatTerrain-da753d7a,playground/Go1JoystickFlatTerrain-expert-v0,Go1JoystickFlatTerrain,TD3-BC,expert,29.691294,0.048699796
checkpoints/TD3-BC/TD3-BC-Go1Getup-5b1c2439,playground/Go1Getup-medium-v0,Go1Getup,TD3-BC,medium,5.2685204,5.900077e-06
checkpoints/TD3-BC/TD3-BC-Go1JoystickFlatTerrain-e5597d63,playground/Go1JoystickFlatTerrain-expert-v0,Go1JoystickFlatTerrain,TD3-BC,expert,29.691294,0.048699796
checkpoints/TD3-BC/TD3-BC-Go1Handstand-7f03e624,playground/Go1Handstand-medium-v0,Go1Handstand,TD3-BC,medium,0.16655399,0.0
